Column,word,desc,time,lang,pos
842,daño,"daño
                  m.
                  
                  (Noun)
                  ""harm,"" ""damage""
               
                    12th cent. From Latin damnum 'id.'
                    From Proto-Italic *dapno- ""loss."" From Proto-Indo-European *dh2p-no- ""expenditure."" From root *deh2p- ""to lose.""
                 

Indo-European




Romance
Asturian dañu, Portuguese dano, Galician dano, Catalan dany, French dam, Romanian daună, Sardinian dànnu


Germanic
Old Norse tafn ""sacrificial animal""


Armenian
Armenian tawn ""feast""

 
Indo-European

 
Romance
Asturian dañu, Portuguese dano, Galician dano, Catalan dany, French dam, Romanian daună, Sardinian dànnu
 
Germanic
Old Norse tafn ""sacrificial animal""
 
Armenian
Armenian tawn ""feast""
 

Afro-Asiatic



Semitic
Akkadian zību, Ugaritic dbḥ, Hebrew zeḇaḥ, Ethiopian zabHa

 
Afro-Asiatic

 
Semitic
Akkadian zību, Ugaritic dbḥ, Hebrew zeḇaḥ, Ethiopian zabHa",12th cent.,Latin,Noun
843,dar,"dar
                  
                  
                  (Verb)
                  ""to give""
               
                    12th cent. From Latin dare 'id.'
                    From Proto-Italic *dide- 'id.' From Proto-Indo-European *di̯-deh3- ""to be giving."" Reduplication of *deh3- ""to give"" to form the imperfective aspect.
                 

Indo-European




Romance
Asturian dar, Portuguese dar, Galician dar, Catalan dar, Italian dare, Aromanian dau, dari Romanian da, dare, Sardinian dare


Italic
Oscan didet ""will give,"" Umbrian teřa ""gives,"" Paelignian datas ""given,"" Venetic doto ""gave,"" Vestian didet ""gives,"" Pre-Samnite tetet ""gave,"" Marsian ded ""given""


Celtic
Old Irish do-rata ""giveable""


Albanian
Albanian (archaic) dhae


Balto-Slavic
Old Church Slavonic dati, Lithuanian dúoti


Hellenic
Ancient Greek δίδωμι (dídomi)


Armenian
Armenian tam


Indo-Iranian
Sanskrit dádāti, Young Avestan daδāiti

 
Indo-European

 
Romance
Asturian dar, Portuguese dar, Galician dar, Catalan dar, Italian dare, Aromanian dau, dari Romanian da, dare, Sardinian dare
 
Italic
Oscan didet ""will give,"" Umbrian teřa ""gives,"" Paelignian datas ""given,"" Venetic doto ""gave,"" Vestian didet ""gives,"" Pre-Samnite tetet ""gave,"" Marsian ded ""given""
 
Celtic
Old Irish do-rata ""giveable""
 
Albanian
Albanian (archaic) dhae
 
Balto-Slavic
Old Church Slavonic dati, Lithuanian dúoti
 
Hellenic
Ancient Greek δίδωμι (dídomi)
 
Armenian
Armenian tam
 
Indo-Iranian
Sanskrit dádāti, Young Avestan daδāiti",12th cent.,Latin,Verb
844,dato,"dato
                  m.
                  
                  (Noun)
                  ""datum;"" (pl.) ""information""
               
                    Borrowed from Latin datum 'id.' From the verb dare ""to give"" (see dar).
                    
                 

Indo-European




Romance
French dé

 
Indo-European

 
Romance
French dé",No Time Found,Latin,Noun
845,de,"de
                  
                  
                  (Preposition)
                  ""of,"" ""from""
               
                    10th cent. Vulgar Latin de (Peregrinatio, 4th cent.) (Already assuming the roles of ab ""by"" and ex ""out of"" in Classical Latin). From Latin de ""of.""
                    From Proto-Italic *dē 'id.' From Proto-Indo-European *deh1- ""by means of (this) here,"" instrumental of *de ""here."" 
                 

Indo-European




Romance
Asturian de, Portuguese de, Galician de, Catalan de, French de, Italian di, Eastern Vuglar Latin Aromanian di, Romanian de


Italic
Oscan dat, Umbrian da-, Faliscian de (borrowed from Latin?)


Celtic
Old Irish de, Old Welsh di


Germanic
Old High German zuo ""to,"" Old Saxon tō 'id.,' English to


Hellenic
Ancient Greek δή (dé) ""even""

 
Indo-European

 
Romance
Asturian de, Portuguese de, Galician de, Catalan de, French de, Italian di, Eastern Vuglar Latin Aromanian di, Romanian de
 
Italic
Oscan dat, Umbrian da-, Faliscian de (borrowed from Latin?)
 
Celtic
Old Irish de, Old Welsh di
 
Germanic
Old High German zuo ""to,"" Old Saxon tō 'id.,' English to
 
Hellenic
Ancient Greek δή (dé) ""even""",10th cent.,Vulgar Latin,Preposition
846,de-,"de-
                  
                  
                  (Prefix)
                  ""away,"" ""reverse of""
               
                    From Latin de- 'id.'
                    From Proto-Italic *dē- 'id.' From the particle *dē ""of this"" (see de).
                 

Indo-European




Celtic
Old Irish de, Old Welsh di


Germanic
Old High German zuo ""to,"" Old Saxon tō 'id.,' English to


Hellenic
Ancient Greek δή (dé) ""even""

 
Indo-European

 
Celtic
Old Irish de, Old Welsh di
 
Germanic
Old High German zuo ""to,"" Old Saxon tō 'id.,' English to
 
Hellenic
Ancient Greek δή (dé) ""even""",No Time Found,Latin,No POS found
848,deber,"deber
                  m.
                  
                  (Verb, Noun)
                  ""to owe;"" ""duty,"" (plural) ""homework""
               
                    As a verb, first attested use is in the 12th cent.; as a noun, 16th cent. From Latin debere ""to owe"" but originally ""to withhold."" From de- (see de-) and habere ""to have"" (see haber).
                    
                 

Indo-European




Romance
Asturian deber, Portuguese dever, Galician deber, Catalan deure, French devoir, Italian dovere, Sardinian dèpere

 
Indo-European

 
Romance
Asturian deber, Portuguese dever, Galician deber, Catalan deure, French devoir, Italian dovere, Sardinian dèpere",12th cent.,Latin,Noun
849,debido,"debido
                  
                  
                  (Adjective)
                  ""due""
               
                    12th cent. Sense of moral obligation is from 16th cent. From deber.
                    
                 

Indo-European




Romance
Asturian deber, Portuguese dever, Galician deber, Catalan deure, French devoir, Italian dovere, Sardinian dèpere, depi

 
Indo-European

 
Romance
Asturian deber, Portuguese dever, Galician deber, Catalan deure, French devoir, Italian dovere, Sardinian dèpere, depi",12th cent.,Galician,Adjective
850,débil,"débil
                  
                  
                  (Adjective)
                  ""weak""
               
                    15th cent. A learned borrowing from Latin debilis 'id.,' replacing Old Spanish feble (itself borrowed from Old French).
                    From Proto-Italic *dē-bel-i- ""without strength."" From *dē- ""undoing of"" (see de-) and *bel- ""strength."" From Proto-Indo-European *bel-o- 'id.,' 
                 

Indo-European




Romance
Asturian débil, Portuguese débil, Galician débil, Catalan dèbil, French débile, Italian debole, debile, Eastern Vuglar Latin Romanian debil, Sardinian débbile, débbili


Balto-Slavic
Old Church Slavonic boļii ""bigger,"" Russian ból'šij 'id.' BCS bȍljī 'id.'


Hellenic
Ancient Greek βέλτατος (béltatos) ""best""


Indo-Iranian
Sanskrit bála- ""strength""

 
Indo-European

 
Romance
Asturian débil, Portuguese débil, Galician débil, Catalan dèbil, French débile, Italian debole, debile, Eastern Vuglar Latin Romanian debil, Sardinian débbile, débbili
 
Balto-Slavic
Old Church Slavonic boļii ""bigger,"" Russian ból'šij 'id.' BCS bȍljī 'id.'
 
Hellenic
Ancient Greek βέλτατος (béltatos) ""best""
 
Indo-Iranian
Sanskrit bála- ""strength""",15th cent.,Latin,Adjective
852,decidir,"decidir
                  
                  
                  (Verb)
                  ""to decide""
               
                    16th cent. From Latin decidere ""to decide"" but literally ""to cut down."" From de- ""from,"" ""away"" (see de- and caedere ""to fall"" (see caer).
                    
                 

Indo-European




Romance
Portuguese decidir, Catalan decidir, French décider, Italian decidere, Romanian decide

 
Indo-European

 
Romance
Portuguese decidir, Catalan decidir, French décider, Italian decidere, Romanian decide",16th cent.,Latin,Verb
853,decir,"decir
                  m.
                  
                  (Verb, Noun)
                  ""to say;"" ""saying""
               
                    10th cent. From Latin dicere ""to say.""
                    From Proto-Italic *deik-e/o- 'id.' From Proto-Indo-European *dei̯ḱ-e/o- 'id.'
                 

Indo-European




Romance
Asturian dicir, Portuguese dizer, Galician dicir, Catalan dir, French dire, Italian dire, Aromanian dzãtsiri, Romanian zicere


Italic
Oscan deíkum, Umbrian teitu ""he said,"" Marrucinian *-dix ""said,"" Marsian *-dis 'id.,' Paelignian *-dix 'id.,' Volscian *-dix 'id.'


Germanic
Gothic ga-teihan ""to indicate""


Hellenic
Ancient Greek δείκνῡμι (deíknymi) ""to show""


Indo-Iranian
Sanskrit diś- ""to show,"" Old Avestan dāiš ""you showed""

 
Indo-European

 
Romance
Asturian dicir, Portuguese dizer, Galician dicir, Catalan dir, French dire, Italian dire, Aromanian dzãtsiri, Romanian zicere
 
Italic
Oscan deíkum, Umbrian teitu ""he said,"" Marrucinian *-dix ""said,"" Marsian *-dis 'id.,' Paelignian *-dix 'id.,' Volscian *-dix 'id.'
 
Germanic
Gothic ga-teihan ""to indicate""
 
Hellenic
Ancient Greek δείκνῡμι (deíknymi) ""to show""
 
Indo-Iranian
Sanskrit diś- ""to show,"" Old Avestan dāiš ""you showed""",10th cent.,Latin,Noun
854,decisión,"decisión
                  f.
                  
                  (Noun)
                  ""decision""
               
                    16th cent. From Latin decisionem, accusative of decisio 'id.' From the verb decidere ""to decide,"" but commonly ""to cut off"" (see decidir).
                    
                 

Indo-European




Romance
Asturian decisión, Portuguese decisão, Galician decisión, Catalan decisió, French décision, Italian deicisione, Romanian decizie

 
Indo-European

 
Romance
Asturian decisión, Portuguese decisão, Galician decisión, Catalan decisió, French décision, Italian deicisione, Romanian decizie",16th cent.,Latin,Noun
855,dedo,"dedo
                  m.
                  
                  (Noun)
                  ""finger""
               
                    12th cent. From Vulgar Latin dicitus. From Latin digitus 'id.'
                    Of unknown origin.
                 

Indo-European




Romance
Asturian deu, Portuguese dedo, dígito, Galician dedo, Catalan dit, French doigt, Italian dito, Aromanian dzeadzit, Romanian: deget, Sardinian didu

 
Indo-European

 
Romance
Asturian deu, Portuguese dedo, dígito, Galician dedo, Catalan dit, French doigt, Italian dito, Aromanian dzeadzit, Romanian: deget, Sardinian didu",12th cent.,Vulgar Latin,Noun
856,defender,"defender
                  
                  
                  (Verb)
                  ""to defend""
               
                    12th cent. Borrowed from Latin defendere 'id.' 
                    From Proto-Italic *dē-χwnd- 'id.' From *dē- ""away"" (see de-) and *χwend- ""to hit."" From Proto-Indo-European *gwhen-dh- 'id.' 
                 

Indo-European




Romance
Portuguese defender, Catalan defendre, defensar, French défendre, Italian difendere


Celtic
Old Irish gonaid ""to wound,"" Welsh gwan ""to hit,"" Old Cornish goanaff ""to sting,"" Middle Cornish gwana 'id.'


Balto-Slavic
Old Church Slavonic gъnati ""to persecute,"" Lithuanian gìnti ""to defend""


Hellenic
Ancient Greek θείνειν (theínein) ""to strike""


Armenian
Armenian ǰnem 'id.'


Indo-Iranian
Sanskrit hánti ""kills""

 
Indo-European

 
Romance
Portuguese defender, Catalan defendre, defensar, French défendre, Italian difendere
 
Celtic
Old Irish gonaid ""to wound,"" Welsh gwan ""to hit,"" Old Cornish goanaff ""to sting,"" Middle Cornish gwana 'id.'
 
Balto-Slavic
Old Church Slavonic gъnati ""to persecute,"" Lithuanian gìnti ""to defend""
 
Hellenic
Ancient Greek θείνειν (theínein) ""to strike""
 
Armenian
Armenian ǰnem 'id.'
 
Indo-Iranian
Sanskrit hánti ""kills""",12th cent.,Latin,Verb
857,defensa,"defensa
                  f.
                  
                  (Noun)
                  ""defense""
               
                    Late 15th cent. Borrowed from Latin defensa 'id.' From defendere ""to defend"" (see defender).
                    
                 

Indo-European




Romance
Portuguese defender, Catalan defendre, defensar, French défendre, Italian difendere

 
Indo-European

 
Romance
Portuguese defender, Catalan defendre, defensar, French défendre, Italian difendere",15th cent.,Latin,Noun
